,how out,fielder,bowler,runs,Inns,opposition,Ground,Start Date,Test_no,batsman,bowler_type,match_type
0,caught,CS Baugh,FH Edwards,4,1,v West Indies,Kingston,20 Jun 2011,Test # 1997,Virat Kohli,right_arm_pace,Test
1,caught,CS Baugh,FH Edwards,15,3,v West Indies,Kingston,20 Jun 2011,Test # 1997,Virat Kohli,right_arm_pace,Test
2,caught,DJG Sammy,R Rampaul,0,1,v West Indies,Bridgetown,28 Jun 2011,Test # 1998,Virat Kohli,right_arm_pace,Test
3,caught,DJG Sammy,FH Edwards,27,3,v West Indies,Bridgetown,28 Jun 2011,Test # 1998,Virat Kohli,right_arm_pace,Test
4,caught,CS Baugh,DJG Sammy,30,2,v West Indies,Roseau,6 Jul 2011,Test # 1999,Virat Kohli,right_arm_pace,Test
5,caught,BJ Haddin,BW Hilfenhaus,11,2,v Australia,Melbourne,26 Dec 2011,Test # 2025,Virat Kohli,right_arm_pace,Test
6,lbw,,BW Hilfenhaus,0,4,v Australia,Melbourne,26 Dec 2011,Test # 2025,Virat Kohli,right_arm_pace,Test
7,caught,BJ Haddin,PM Siddle,23,1,v Australia,Sydney,3 Jan 2012,Test # 2027,Virat Kohli,right_arm_pace,Test
8,lbw,,JL Pattinson,9,3,v Australia,Sydney,3 Jan 2012,Test # 2027,Virat Kohli,right_arm_pace,Test
9,caught,DA Warner,PM Siddle,44,1,v Australia,Perth,13 Jan 2012,Test # 2029,Virat Kohli,right_arm_pace,Test
10,caught,BJ Haddin,PM Siddle,75,3,v Australia,Perth,13 Jan 2012,Test # 2029,Virat Kohli,right_arm_pace,Test
11,lbw,,BW Hilfenhaus,116,2,v Australia,Adelaide,24 Jan 2012,Test # 2031,Virat Kohli,right_arm_pace,Test
12,caught,MJ Guptill,CS Martin,58,1,v New Zealand,Hyderabad (Deccan),23 Aug 2012,Test # 2054,Virat Kohli,right_arm_pace,Test
13,lbw,,TG Southee,103,2,v New Zealand,Bengaluru,31 Aug 2012,Test # 2055,Virat Kohli,right_arm_pace,Test
14,caught,GP Swann,JM Anderson,6,1,v England,Kolkata,5 Dec 2012,Test # 2065,Virat Kohli,right_arm_pace,Test
15,caught,MJ Prior,ST Finn,20,3,v England,Kolkata,5 Dec 2012,Test # 2065,Virat Kohli,right_arm_pace,Test
16,caught,PJ Hughes,PM Siddle,34,4,v Australia,Mohali,14 Mar 2013,Test # 2081,Virat Kohli,right_arm_pace,Test
17,caught,JP Duminy,JH Kallis,119,1,v South Africa,Johannesburg,18 Dec 2013,Test # 2108,Virat Kohli,right_arm_pace,Test
18,caught,AB de Villiers,M Morkel,46,1,v South Africa,Durban,26 Dec 2013,Test # 2111,Virat Kohli,right_arm_pace,Test
19,caught,AB de Villiers,DW Steyn,11,3,v South Africa,Durban,26 Dec 2013,Test # 2111,Virat Kohli,right_arm_pace,Test
20,caught,PG Fulton,TG Southee,4,2,v New Zealand,Auckland,6 Feb 2014,Test # 2118,Virat Kohli,right_arm_pace,Test
21,caught,IR Bell,SCJ Broad,1,1,v England,Nottingham,9 Jul 2014,Test # 2128,Virat Kohli,right_arm_pace,Test
22,lbw,,SCJ Broad,8,3,v England,Nottingham,9 Jul 2014,Test # 2128,Virat Kohli,right_arm_pace,Test
23,caught,MJ Prior,JM Anderson,25,1,v England,Lord's,17 Jul 2014,Test # 2130,Virat Kohli,right_arm_pace,Test
24,bowled,,LE Plunkett,0,3,v England,Lord's,17 Jul 2014,Test # 2130,Virat Kohli,right_arm_pace,Test
25,caught,AN Cook,JM Anderson,39,2,v England,Southampton,27 Jul 2014,Test # 2132,Virat Kohli,right_arm_pace,Test
26,caught,AN Cook,JM Anderson,0,1,v England,Manchester,7 Aug 2014,Test # 2134,Virat Kohli,right_arm_pace,Test
27,caught,IR Bell,JM Anderson,7,3,v England,Manchester,7 Aug 2014,Test # 2134,Virat Kohli,right_arm_pace,Test
28,lbw,,CJ Jordan,6,1,v England,The Oval,15 Aug 2014,Test # 2137,Virat Kohli,right_arm_pace,Test
29,caught,AN Cook,CJ Jordan,20,3,v England,The Oval,15 Aug 2014,Test # 2137,Virat Kohli,right_arm_pace,Test
30,caught,BJ Haddin,JR Hazlewood,19,1,v Australia,Brisbane,17 Dec 2014,Test # 2149,Virat Kohli,right_arm_pace,Test
31,caught,JA Burns,RJ Harris,54,4,v Australia,Melbourne,26 Dec 2014,Test # 2152,Virat Kohli,right_arm_pace,Test
32,caught,CJL Rogers,RJ Harris,147,2,v Australia,Sydney,6 Jan 2015,Test # 2156,Virat Kohli,right_arm_pace,Test
33,caught,MDKJ Perera,AD Mathews,18,1,v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179,Virat Kohli,right_arm_pace,Test
34,caught,WU Tharanga,N Pradeep,21,3,v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179,Virat Kohli,right_arm_pace,Test
35,caught,D Elgar,K Rabada,1,1,v South Africa,Mohali,5 Nov 2015,Test # 2186,Virat Kohli,right_arm_pace,Test
36,caught,DJ Vilas,S van Zyl,29,3,v South Africa,Mohali,5 Nov 2015,Test # 2186,Virat Kohli,right_arm_pace,Test
37,caught,DJ Vilas,M Morkel,22,1,v South Africa,Nagpur,25 Nov 2015,Test # 2189,Virat Kohli,right_arm_pace,Test
38,lbw,,KJ Abbott,88,3,v South Africa,Delhi,3 Dec 2015,Test # 2191,Virat Kohli,right_arm_pace,Test
39,bowled,,ST Gabriel,200,1,v West Indies,North Sound,21 Jul 2016,Test # 2207,Virat Kohli,right_arm_pace,Test
40,caught,DM Bravo,AS Joseph,3,1,v West Indies,Gros Islet,9 Aug 2016,Test # 2215,Virat Kohli,right_arm_pace,Test
